ticker,announced,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
HGV,2023-03-06,2023-03-07,2023-03-16,50.18000030517578,42.79999923706055,4982,-36767.1653213501,-36866.8053213501,-0.14746913158850591,249996.76152038574,10
HTZ,2023-03-06,2023-03-07,2023-03-16,19.510000228881836,16.25,12813,-41770.382932662964,-42026.642932662966,-0.1681189231369794,249981.63293266296,10
SSB,2023-03-06,2023-03-07,2023-03-16,81.80999755859375,75.69999694824219,3055,-18666.051864624023,-18727.151864624022,-0.07492972489042245,249929.5425415039,10
STWD,2023-03-06,2023-03-07,2023-03-16,20.56999969482422,17.290000915527344,12153,-39861.82516479492,-40104.88516479492,-0.160427750522875,249987.20629119873,10
USFD,2023-03-06,2023-03-07,2023-03-16,40.04999923706055,34.58000183105469,6242,-34143.723808288574,-34268.56380828857,-0.13707858952780333,249992.09523773193,10
VAL,2023-03-06,2023-03-07,2023-03-16,75.08999633789062,61.86000061035156,3329,-44042.65577697754,-44109.23577697754,-0.176454872469518,249974.5978088379,10
WMS,2023-03-06,2023-03-07,2023-03-16,90.27999877929688,81.19000244140625,2769,-25170.19985961914,-25225.57985961914,-0.10090824613502035,249985.31661987305,10
AUB,2023-03-06,2023-03-07,2023-03-16,39.83000183105469,36.77000045776367,4042,-12368.525550842285,-12449.365550842285,-0.07732867767255781,160992.86740112305,10
KW,2023-03-06,2023-03-07,2023-03-16,18.420000076293945,17.469999313354492,8330,-7913.5063552856445,-8080.106355285645,-0.05266019320965251,153438.60063552856,10
RDN,2023-03-06,2023-03-07,2023-03-16,22.65999984741211,21.229999542236328,11032,-15775.763366699219,-15996.403366699218,-0.06398942254809321,249985.1183166504,10
BG,2023-03-13,2023-03-14,2023-03-13,100.7300033569336,91.38999938964844,2481,-23172.549842834473,-23222.16984283447,-0.09292170808451457,249911.13832855225,0
VRRM,2023-02-23,2023-02-24,2023-02-27,16.850000381469727,17.040000915527344,12859,2443.2168674468994,2186.0368674468996,0.010089052237919834,216674.1549053192,4
OTTR,2023-02-16,2023-02-17,2023-02-21,67.9800033569336,69.66000366210938,2238,3759.8406829833984,3715.080682983398,0.024418950032406406,152139.24751281738,5
CRK,2023-01-30,2023-01-31,2023-02-02,12.399999618530273,12.050000190734863,20161,-7056.338463783264,-7459.558463783264,-0.02983866444983527,249996.39230918884,3
NOG,2023-01-26,2023-01-27,2023-01-31,35.5,33.52000045776367,7042,-13943.156776428223,-14083.996776428223,-0.056338015274262764,249991.0,5
SMCI,2022-12-19,2022-12-20,2022-12-20,8.331999778747559,8.331000328063965,30004,-29.987518310546875,-630.0675183105469,-0.0025203374029314158,249993.32136154175,1
FSLR,2022-12-12,2022-12-13,2022-12-15,152.88999938964844,159.41000366210938,1635,10660.206985473633,10627.506985473632,0.04251425402844907,249975.1490020752,3
NXST,2022-11-28,2022-11-29,2022-11-29,185.32000732421875,187.61000061035156,1349,3089.200942993164,3062.220942993164,0.012249045955202462,249996.6898803711,1
AR,2022-10-17,2022-10-18,2022-10-18,35.54999923706055,35.79999923706055,7032,1758.0,1617.36,0.0064697610389883526,249987.59463500977,1
TRGP,2022-10-06,2022-10-07,2022-10-10,64.38999938964844,63.36000061035156,3882,-3998.4552612304688,-4076.0952612304686,-0.01630686114691401,249961.97763061523,4
LNTH,2022-10-06,2022-10-07,2022-10-10,70.38999938964844,66.2300033569336,3551,-14772.14591217041,-14843.16591217041,-0.059383379300462884,249954.8878326416,4
PAYO,2022-10-06,2022-10-07,2022-10-10,7.489999771118164,7.460000038146973,33377,-1001.3010873794556,-1668.8410873794555,-0.00667553197584772,249993.72236061096,4
FYBR,2022-09-27,2022-09-28,2022-09-29,23.68000030517578,23.18000030517578,10557,-5278.5,-5489.64,-0.021959459176457134,249989.76322174072,2
CSGP,2022-09-06,2022-09-07,2022-09-15,75.68000030517578,72.48999786376953,3303,-10536.578063964844,-10602.638063964843,-0.042415465492363594,249971.0410079956,9
INVH,2022-09-06,2022-09-07,2022-09-15,38.02000045776367,37.20000076293945,6575,-5391.497993469238,-5522.997993469238,-0.022093626636258787,249981.50300979614,9
DT,2022-09-06,2022-09-07,2022-09-15,37.88999938964844,38.63999938964844,6598,4948.5,4816.54,0.0192662974863873,249998.2159729004,9
NLY,2022-09-06,2022-09-07,2022-09-15,26.040000915527344,24.559999465942383,9600,-14208.013916015625,-14400.013916015625,-0.05760374027830882,249984.0087890625,9
OUT,2022-09-06,2022-09-07,2022-09-15,18.903688430786133,18.75,13224,-2032.3758087158203,-2296.8558087158203,-0.009188070964144101,249982.37580871582,9
CPRX,2022-09-12,2022-09-13,2022-09-13,16.15999984741211,15.300000190734863,15470,-13304.194688796997,-13613.594688796997,-0.05445542481352008,249995.19763946533,1
CELH,2022-08-04,2022-08-05,2022-08-08,34.470001220703125,33.77333450317383,7252,-5052.227035522461,-5197.267035522461,-0.020791026752237467,249976.44885253906,4
CLFD,2022-08-04,2022-08-05,2022-08-08,109.80000305175781,110.47000122070312,2276,1524.9158325195312,1479.3958325195313,0.005919837439703118,249904.80694580078,4
AHCO,2022-08-01,2022-08-02,2022-08-02,24.100000381469727,24.149999618530273,10373,518.6420860290527,311.1820860290527,0.0012447816010664056,249989.30395698547,1
SHO,2022-07-18,2022-07-19,2022-07-19,10.5600004196167,10.850000381469727,23674,6865.459096908569,6391.97909690857,0.025568177189791028,249997.44993400574,1
GRBK,2022-07-13,2022-07-14,2022-07-18,23.700000762939453,23.309999465942383,6829,-2663.318857192993,-2799.898857192993,-0.01729963222778474,161847.30521011353,5
ORA,2022-06-28,2022-06-29,2022-07-05,76.87000274658203,76.4800033569336,3252,-1268.2780151367188,-1333.3180151367187,-0.005333672108742936,249981.24893188477,7
LRN,2022-06-28,2022-06-29,2022-06-30,41.220001220703125,40.790000915527344,6065,-2607.9518508911133,-2729.2518508911135,-0.010917037647969901,249999.30740356445,2
SNCY,2022-06-28,2022-06-29,2022-06-30,18.700000762939453,18.34000015258789,8036,-2892.9649047851562,-3053.684904785156,-0.020320887425024373,150273.20613098145,2
EHAB,2022-06-28,2022-06-29,2022-06-29,25.0,23.75,496,-620.0,-629.92,-0.0508,12400.0,1
EYE,2022-06-13,2022-06-14,2022-06-14,28.299999237060547,26.690000534057617,8833,-14221.118543624878,-14397.778543624878,-0.057597128867351646,249973.8932609558,1
IRT,2022-05-12,2022-05-13,2022-05-17,21.93000030517578,22.68000030517578,11399,8549.25,8321.27,0.03328773323490151,249980.07347869873,5
AOSL,2022-05-12,2022-05-13,2022-05-17,38.22999954223633,40.58000183105469,6539,15366.664966583252,15235.884966583251,0.06094696093951514,249985.96700668335,5
